Indicadores de producto PATR;Indicadores de producto Plan indicativo
Proyectos construidos, mejorados o mixtos (finalizados) en municipios priorizados en el Plan Nacional de Salud Rural;#N/D
Proyectos de atención a víctimas ejecutados;#N/D
Proyectos de inversión cofinanciados;Proyectos de inversión cofinanciados
Proyectos de inversión financiados;Proyectos de inversión financiados
Proyectos de Pago por Servicios Ambientales registrados ante la autoridad ambiental;#N/D
Proyectos de participación en espacios comerciales, apoyados por el Ministerio de Comercio, Industria y Turismo en municipios PDET;#N/D
Proyectos de protección de reclutamiento y enrolamiento de niños y jóvenes en organizaciones delictivas ejecutados;#N/D
Proyectos de protección y recuperación del conocimiento tradicional asociado a la biodiversidad;Proyectos de protección y recuperación del conocimiento tradicional asociado a la biodiversidad
Proyectos de reconversión implementados;#N/D
Proyectos financiados;Proyectos financiados
Proyectos para el mejoramiento de la calidad del recurso hídrico formulados;#N/D
Proyectos para la promoción del uso eficiente y ahorro del agua formulados;Proyectos para la promoción del uso eficiente y ahorro del agua formulados
Proyectos productivos artesanales de grupos étnicos con participación en espacios comerciales;#N/D
Proyectos productivos de grupos étnicos fortalecidos mediante asistencia técnica para la comercialización;#N/D
Pueblos y comunidades étnicas formados en temas de control social y veedurías;#N/D
Puente construido en caminos ancestrales;Puente construido en caminos ancestrales
Recolectores de cultivos ilícitos beneficiados con apoyo financiero para iniciativas de generación de ingresos;#N/D
Recursos otorgados mediante incentivos al sector productivo;Recursos otorgados mediante incentivos al sector productivo
Redes temática de turismo apoyadas;#N/D
Restaurantes con RNT activos;#N/D
Rutas de atención implementadas;Rutas de atención implementadas
Rutas del cuidado implementadas;#N/D
Secretarías de educación y organizaciones de los grupos étnicos asistidos técnicamente para fortalecer la incorporación del enfoque étnico en la prestación del servicio educativo;Secretarías de educación y organizaciones de los grupos étnicos asistidos técnicamente para fortalecer la incorporación del enfoque étnico en la prestación del servicio educativo
Sedes de conocimiento y transmisión de saberes a las comunidades indígenas mejoradas;#N/D
Sedes dotadas con materiales pedagógicos;Sedes dotadas con materiales pedagógicos
Sedes habilitadas con servicio de telemedicina ubicadas en municipios PDET;#N/D
Sedes Rurales Construidas y/o Mejoradas;#N/D
Sello Ambiental Colombiano;#N/D
Servicio de investigación de reconstrucción de hechos relacionados con el conflicto;#N/D
Sistema de seguimiento y evaluación permanente para garantizar la calidad y oportunidad de la atención, implementado;#N/D
Sistemas de alertas tempranas para la gestión del riesgo de desastres implementados;Sistemas de alertas tempranas para la gestión del riesgo de desastres implementados
Sistemas de información étnico implementado;#N/D
Sistemas de justicia propia apoyados financieramente;Sistemas de justicia propia apoyados financieramente
Soluciones energéticas para la ampliación de la cobertura del servicio de energía eléctrica en comunidades Negras, Afrocolombianas, Raizales y Palenqueras en implementación;#N/D
SRC étnicos en territorios PDET con planes de reparación colectiva en formulación, concertados, consultados y en implementación;#N/D
Sujetos colectivos con el proceso de reparación colectiva finalizada;#N/D
Sujetos colectivos con medidas de satisfacción y garantías de no repetición implementadas;#N/D
Sujetos colectivos étnicos con medidas de indemnización económica implementadas;#N/D
Sujetos de reparación colectiva con Plan de Reparación Colectiva implementado;#N/D
Territorios colectivos ampliados;#N/D
Unidades de pequeños productores fortalecidas;Unidades de pequeños productores fortalecidas
Unidades productivas de la economía popular beneficiarias de instrumentos de inclusión financiera;#N/D
Unidades productivas fortalecidas;Unidades productivas fortalecidas
Unidades Productoras Agropecuarias (UPAs) con sistemas productivos sostenibles adoptados;#N/D
Usuarios atendidos con el servicio publico de extensión agropecuaria;#N/D
Usuarios nuevos de las comunidades indígenas conectados con servicio de energía eléctrica;#N/D
Valor de créditos de FINAGRO otorgados a productores por municipio;#N/D
Vías férreas estructuradas y/o adjudicadas;#N/D
Vías primarias no concesionadas mejoradas;#N/D
Vías primarias no concesionadas rehabilitadas y mantenidas;#N/D
Vías regionales y caminos ancestrales intervenidos (mejoradas, mantenidas y rehabilitadas);#N/D
Víctimas acreditadas que participan en medidas reparadoras y restaurativas;#N/D
Visitantes que ingresan a las áreas protegidas nacionales;#N/D
Viviendas mejoradas entregadas;#N/D
